,city_name,country,cloudiness,humidity,lat,lng,temperature,max_temp,wind speed,date
180,osoyoos,ca,40.0,30.0,49.03,-119.47,86.31,89.6,10.29,1533668400
181,kangaatsiaq,gl,92.0,88.0,68.31,-53.46,46.81,46.81,4.63,1533671516
182,yellowknife,ca,75.0,67.0,62.45,-114.38,60.8,60.8,12.75,1533668400
183,katakwi,ug,0.0,91.0,1.91,33.96,62.38,62.38,3.29,1533671516
184,punta arenas,cl,90.0,93.0,-53.16,-70.91,35.6,35.6,5.82,1533668400
185,busselton,au,64.0,98.0,-33.64,115.35,60.94,60.94,20.51,1533671503
186,panama city,us,1.0,70.0,30.16,-85.65,89.69,91.4,8.05,1533668160
187,nizhniy kuranakh,ru,76.0,89.0,58.84,125.49,52.39,52.39,2.17,1533671517
188,mount gambier,au,92.0,96.0,-37.83,140.78,49.87,49.87,8.32,1533671517
191,atuona,pf,100.0,100.0,-9.8,-139.03,75.16,75.16,14.25,1533671518
192,alekseyevsk,ru,36.0,75.0,57.84,108.35,49.69,49.69,2.73,1533671518
193,ketchikan,us,90.0,56.0,55.34,-131.65,65.98,71.6,10.29,1533668160
194,butaritari,ki,20.0,100.0,3.07,172.79,82.18,82.18,7.87,1533671489
195,shenkursk,ru,20.0,82.0,62.11,42.91,50.77,50.77,5.97,1533671519
196,nikolskoye,ru,20.0,77.0,59.7,30.79,60.8,60.8,8.95,1533668400
197,nikolskoye,ru,20.0,77.0,59.7,30.79,60.8,60.8,8.95,1533668400
198,kathmandu,np,75.0,100.0,27.71,85.32,69.8,69.8,2.06,1533667800
199,rikitea,pf,44.0,100.0,-23.12,-134.97,73.99,73.99,6.98,1533671479
200,puerto ayora,ec,12.0,92.0,-0.74,-90.35,72.82,72.82,13.69,1533671500
201,albany,au,12.0,93.0,-35.02,117.88,52.93,52.93,16.71,1533671505
202,talaya,ru,0.0,83.0,55.79,84.89,51.22,51.22,7.2,1533671520
203,puerto ayora,ec,12.0,92.0,-0.74,-90.35,72.82,72.82,13.69,1533671500
204,bredasdorp,za,80.0,87.0,-34.53,20.04,48.2,48.2,6.93,1533668400
210,yellowknife,ca,75.0,67.0,62.45,-114.38,60.8,60.8,12.75,1533668400
211,nouadhibou,mr,75.0,83.0,20.93,-17.03,71.6,71.6,11.41,1533668400
212,rikitea,pf,44.0,100.0,-23.12,-134.97,73.99,73.99,6.98,1533671479
213,kapaa,us,90.0,78.0,22.08,-159.32,80.76,82.4,18.34,1533668160
214,katsuura,jp,0.0,93.0,33.93,134.5,73.09,73.09,5.19,1533671522
215,coquimbo,cl,0.0,59.0,-29.95,-71.34,64.4,64.4,13.87,1533668400
216,kwekwe,zw,0.0,60.0,-18.93,29.81,58.87,58.87,0.04,1533671523
217,rikitea,pf,44.0,100.0,-23.12,-134.97,73.99,73.99,6.98,1533671479
218,naze,jp,48.0,99.0,28.37,129.48,83.17,83.17,7.99,1533671523
219,teya,ru,0.0,88.0,60.37,92.63,42.04,42.04,2.28,1533671523
220,ontario,us,5.0,14.0,34.07,-117.65,92.03,107.6,9.17,1533671400
221,tasiilaq,gl,75.0,80.0,65.61,-37.64,41.0,41.0,11.41,1533667800
222,kapaa,us,90.0,78.0,22.08,-159.32,80.76,82.4,18.34,1533668160
223,hermanus,za,24.0,100.0,-34.42,19.24,39.7,39.7,2.28,1533671507
224,rikitea,pf,44.0,100.0,-23.12,-134.97,73.99,73.99,6.98,1533671479
225,kamenka,ru,56.0,80.0,53.19,44.05,64.99,64.99,6.2,1533671525
227,fairbanks,us,75.0,66.0,64.84,-147.72,55.4,55.4,5.82,1533668280
228,port elizabeth,za,0.0,71.0,-33.92,25.57,50.0,50.0,17.22,1533668400
229,butaritari,ki,20.0,100.0,3.07,172.79,82.18,82.18,7.87,1533671489
230,lerwick,gb,8.0,71.0,60.15,-1.15,56.3,57.2,6.93,1533669600
